,0,1,2,3
134,446,453,5.3927436941005436,6
135,445,454,5.358977351235868,118
136,25,47,5.44957755654569,2
137,107,121,5.4603131515192205,2
138,220,221,5.473830866488859,2
139,20,178,5.487524893877286,2
140,171,176,5.497989028317393,2
141,56,435,5.5092235225957795,3
142,69,83,5.5201276902202565,2
143,38,93,5.531773991047808,2
144,63,185,5.542619094015951,2
145,55,129,5.553272496032045,2
146,0,157,5.563374183596072,2
147,239,458,5.57554678720081,3
148,455,467,5.560036986796438,121
149,30,172,5.595868018698314,2
150,166,181,5.605969215170344,2
151,57,154,5.616258183128891,2
152,29,94,5.626494740851542,2
153,189,192,5.636852697282773,2
154,39,101,5.647283217524883,2
155,75,142,5.657408912837475,2
156,88,326,5.667417366184881,3
157,451,476,5.674868558525156,5
158,109,222,5.687882310335588,2
159,17,196,5.697941353402883,2
160,128,136,5.7091348826581,2
161,76,158,5.720957200832849,2
162,117,119,5.731931702274169,2
163,53,97,5.743228383565583,2
164,52,483,5.706727156303711,3
165,37,184,5.764823184559363,2
166,123,149,5.777088071567687,2
167,391,447,5.789151508507759,6
168,27,112,5.799644585765702,2
169,457,488,5.767400160851025,4
170,71,113,5.820312032699563,2
171,15,193,5.830334419877604,2
172,14,103,5.84110007454534,2
173,82,180,5.851619061110057,2
174,490,493,5.773685543009677,4
175,41,48,5.87280995560051,2
176,160,330,5.88399856728777,3
177,401,449,5.89478357559231,6
178,45,59,5.905084044871092,2
179,124,127,5.915669985010108,2
180,6,135,5.926478888979643,2
181,26,148,5.9375799026319,2
182,72,120,5.947689068126616,2
183,21,169,5.9578964100129115,2
184,31,36,5.969267924101694,2
185,139,320,5.980006307140179,3
186,464,505,5.935010974542131,5
187,86,174,6.000547193894857,2
188,66,130,6.0110454299840255,2
189,23,42,6.022398853106829,2
190,40,125,6.033851701401934,2
191,43,153,6.046344017720209,2
192,92,511,6.03269838074176,3
193,95,132,6.0683002179111085,2
194,182,452,6.078995271981173,3
195,16,152,6.089808221647232,2
196,49,504,6.10134085476868,3
197,428,479,6.112361517808123,4
198,10,77,6.12246816151632,2
199,147,243,6.132592892799258,2
200,143,145,6.143091703525227,2
201,35,51,6.1531567345481175,2
202,134,228,6.163630965882485,2
203,104,470,6.174461772051338,3
204,81,146,6.184773866868491,2
205,1,3,6.195575917541523,2
206,175,524,6.206303232868418,3
207,79,99,6.217378068946675,2
208,156,503,6.227473366958051,3
209,90,183,6.238438208030635,2
210,5,28,6.24875630878059,2
211,73,122,6.25956623693601,2
212,340,531,6.261072633670537,4
213,34,96,6.280006348086303,2
214,65,484,6.290021640251091,4
215,131,513,6.300042118935105,3
216,85,89,6.310883904184428,2
217,151,502,6.321243310829067,3
218,64,188,6.3315379430850935,2
